route_key,wavelength_nm,width_nm,depth_nm,particle_panel_id,panel_role,panel_score_p10_relative_proxy,panel_score_p90_relative_proxy,panel_score_claim_level,aggregation_scope,aggregation_particle_family,aggregation_particle_filter_id,aggregation_weighting_id,aggregation_metric_id,aggregation_quantile,anchor_particles_included,contaminants_included_in_route_score,biological_specificity_claim_allowed,true_ev_concentration_claim_allowed,coincidence_event_overlap_proxy_definition,coincidence_event_overlap_proxy_label,coincidence_claim_level
404/W600/D1200,404,600,1200,EV_sEV,positive_ev_prior,-0.39732499857961767,-0.2735112011438295,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1200,404,600,1200,gold,anchor_or_contaminant_risk_panel,-0.4235589643504082,0.30445218588556633,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1300,404,600,1300,EV_sEV,positive_ev_prior,-0.3612749832050037,-0.30073950158803947,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1300,404,600,1300,gold,anchor_or_contaminant_risk_panel,-0.3960371899642158,0.2709507405083977,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1400,404,600,1400,EV_sEV,positive_ev_prior,-0.3512719789277634,-0.3094813429572708,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1400,404,600,1400,gold,anchor_or_contaminant_risk_panel,-0.46698506887382496,0.30495992679417044,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1500,404,600,1500,EV_sEV,positive_ev_prior,-0.3689133166676683,-0.31235857428494196,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1500,404,600,1500,gold,anchor_or_contaminant_risk_panel,-0.4218368253384698,0.2650744762798991,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D500,404,700,500,EV_sEV,positive_ev_prior,-0.7083669444811199,-0.25921689104075324,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D500,404,700,500,gold,anchor_or_contaminant_risk_panel,-0.5579603571873035,0.645088261413488,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D550,404,700,550,EV_sEV,positive_ev_prior,-0.5143074116697471,-0.24994001618804798,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D550,404,700,550,gold,anchor_or_contaminant_risk_panel,-0.4633646026423525,0.6197796685003164,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W700/D600,404,700,600,EV_sEV,positive_ev_prior,-0.4014174313347539,-0.25009404623948484,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
