diagnostic_schema_version,candidate_id,route_key,comparison_stratum,jones_basis_family_id,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,jones_rank_percentile_in_stratum,jones_vs_v1_rank_percentile_delta,jones_pairwise_inversion_flag,polarization_surrogate_risk_label,polarization_surrogate_risk_reason_codes,raw_jones_amplitude_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1200,404/W800/D1200,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.2924693520140105,0.07005253940455336,0.07005253940455336,-0.22241681260945712,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-6.33429933429439,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1300,404/W800/D1300,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3922942206654991,0.06129597197898429,0.06129597197898429,-0.33099824868651484,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.570998547295124,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1400,404/W800/D1400,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4290718038528897,0.06654991243432573,0.06654991243432573,-0.36252189141856395,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.519266330096491,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1500,404/W800/D1500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.42556917688266205,0.07705779334500873,0.07705779334500873,-0.3485113835376533,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.172218793809863,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D500,404/W900/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.12959719789842383,0.6952714535901927,0.6952714535901927,0.5656742556917689,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-0.8464271277243789,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D550,404/W900/D550,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.17688266199649738,0.6322241681260945,0.6322241681260945,0.4553415061295971,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.13612842070787,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D600,404/W900/D600,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.29947460595446584,0.5761821366024518,0.5761821366024518,0.2767075306479859,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.4236002645156347,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D650,404/W900/D650,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.49036777583187385,0.520140105078809,0.520140105078809,0.02977232924693518,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-1.773882809198311,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D700,404/W900/D700,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4938704028021016,0.46935201401050786,0.46935201401050786,-0.024518388791593737,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.129715314369605,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D800,404/W900/D800,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4115586690017513,0.3765323992994746,0.3765323992994746,-0.035026269702276736,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.906979954969816,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D900,404/W900/D900,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3800350262697023,0.2749562171628721,0.2749562171628721,-0.1050788091068302,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-3.76858181089694,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D1000,404/W900/D1000,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.29071803852889666,0.190893169877408,0.190893169877408,-0.09982486865148865,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-4.578264751492992,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W900_D1100,404/W900/D1100,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.24868651488616467,0.12959719789842383,0.12959719789842383,-0.11908931698774083,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-5.240320686117096,False,False,False,surrogate_risk_reduction_only
